dataset,artist,track,chord_filepath,mp3_filepath,mp3_length,chord_length,diff_length
isophonics/The Beatles,The Beatles,Rock and Roll Music,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/04_-_Rock_and_Roll_Music.lab,Data/mp3s/Rock and Roll Music - The Beatles.mp3,153.0,153,0.0
isophonics/The Beatles,The Beatles,I Don't Want to Spoil the Party,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/12_-_I_Don't_Want_to_Spoil_the_Party.lab,Data/mp3s/I Don't Want to Spoil the Party - The Beatles.mp3,156.0,156,0.0
isophonics/The Beatles,The Beatles,I'm a Loser,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/02_-_I'm_a_Loser.lab,Data/mp3s/I'm a Loser - The Beatles.mp3,161.0,153,8.0
isophonics/The Beatles,The Beatles,Mr. Moonlight,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/06_-_Mr._Moonlight.lab,Data/mp3s/Mr. Moonlight - The Beatles.mp3,158.0,157,1.0
isophonics/The Beatles,The Beatles,"Kansas City- Hey, Hey, Hey, Hey","Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/07_-_Kansas_City-_Hey,_Hey,_Hey,_Hey.lab","Data/mp3s/Kansas City- Hey, Hey, Hey, Hey - The Beatles.mp3",148.0,153,-5.0
isophonics/The Beatles,The Beatles,I'll Follow the Sun,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/05_-_I'll_Follow_the_Sun.lab,Data/mp3s/I'll Follow the Sun - The Beatles.mp3,111.0,111,0.0
isophonics/The Beatles,The Beatles,No Reply,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/01_-_No_Reply.lab,Data/mp3s/No Reply - The Beatles.mp3,140.0,137,3.0
isophonics/The Beatles,The Beatles,Baby's In Black,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/03_-_Baby's_In_Black.lab,Data/mp3s/Baby's In Black - The Beatles.mp3,125.0,127,-2.0
isophonics/The Beatles,The Beatles,Words of Love,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/09_-_Words_of_Love.lab,Data/mp3s/Words of Love - The Beatles.mp3,125.0,134,-9.0
isophonics/The Beatles,The Beatles,What You're Doing,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/13_-_What_You're_Doing.lab,Data/mp3s/What You're Doing - The Beatles.mp3,149.0,154,-5.0
isophonics/The Beatles,The Beatles,Every Little Thing,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/11_-_Every_Little_Thing.lab,Data/mp3s/Every Little Thing - The Beatles.mp3,119.0,124,-5.0
isophonics/The Beatles,The Beatles,Her Majesty,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/17_-_Her_Majesty.lab,Data/mp3s/Her Majesty - The Beatles.mp3,27.0,23,4.0
isophonics/The Beatles,The Beatles,Carry That Weight,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/15_-_Carry_That_Weight.lab,Data/mp3s/Carry That Weight - The Beatles.mp3,97.0,96,1.0
isophonics/The Beatles,The Beatles,Sun King,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/10_-_Sun_King.lab,Data/mp3s/Sun King - The Beatles.mp3,147.0,146,1.0
isophonics/The Beatles,The Beatles,Maxwell's Silver Hammer,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/03_-_Maxwell's_Silver_Hammer.lab,Data/mp3s/Maxwell's Silver Hammer - The Beatles.mp3,206.0,207,-1.0
isophonics/The Beatles,The Beatles,Golden Slumbers,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/14_-_Golden_Slumbers.lab,Data/mp3s/Golden Slumbers - The Beatles.mp3,92.0,91,1.0
isophonics/The Beatles,The Beatles,She Came In Through The Bathroom Window,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/13_-_She_Came_In_Through_The_Bathroom_Window.lab,Data/mp3s/She Came In Through The Bathroom Window - The Beatles.mp3,124.0,117,7.0
isophonics/The Beatles,The Beatles,You Never Give Me Your Money,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/09_-_You_Never_Give_Me_Your_Money.lab,Data/mp3s/You Never Give Me Your Money - The Beatles.mp3,244.0,242,2.0
isophonics/The Beatles,The Beatles,Polythene Pam,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/12_-_Polythene_Pam.lab,Data/mp3s/Polythene Pam - The Beatles.mp3,73.0,72,1.0
isophonics/The Beatles,The Beatles,Mean Mr Mustard,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/11_-_Mean_Mr_Mustard.lab,Data/mp3s/Mean Mr Mustard - The Beatles.mp3,67.0,66,1.0
isophonics/The Beatles,The Beatles,Here Comes The Sun,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/07_-_Here_Comes_The_Sun.lab,Data/mp3s/Here Comes The Sun - The Beatles.mp3,186.0,185,1.0
isophonics/The Beatles,The Beatles,The End,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/16_-_The_End.lab,Data/mp3s/The End - The Beatles.mp3,142.0,139,3.0
isophonics/The Beatles,The Beatles,Octopus's Garden,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/05_-_Octopus's_Garden.lab,Data/mp3s/Octopus's Garden - The Beatles.mp3,166.0,171,-5.0
isophonics/The Beatles,The Beatles,Something,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/02_-_Something.lab,Data/mp3s/Something - The Beatles.mp3,184.0,183,1.0
isophonics/The Beatles,The Beatles,Oh! Darling,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/04_-_Oh!_Darling.lab,Data/mp3s/Oh! Darling - The Beatles.mp3,206.0,206,0.0
isophonics/The Beatles,The Beatles,Because,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/08_-_Because.lab,Data/mp3s/Because - The Beatles.mp3,169.0,165,4.0
isophonics/The Beatles,The Beatles,I Want You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/06_-_I_Want_You.lab,Data/mp3s/I Want You - The Beatles.mp3,468.0,467,1.0
isophonics/The Beatles,The Beatles,Come Together,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/11_-_Abbey_Road/01_-_Come_Together.lab,Data/mp3s/Come Together - The Beatles.mp3,259.0,260,-1.0
isophonics/The Beatles,The Beatles,Ticket To Ride,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/07_-_Ticket_To_Ride.lab,Data/mp3s/Ticket To Ride - The Beatles.mp3,191.0,192,-1.0
isophonics/The Beatles,The Beatles,Yesterday,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/13_-_Yesterday.lab,Data/mp3s/Yesterday - The Beatles.mp3,126.0,127,-1.0
isophonics/The Beatles,The Beatles,Help!,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/01_-_Help!.lab,Data/mp3s/Help! - The Beatles.mp3,140.0,141,-1.0
isophonics/The Beatles,The Beatles,I Need You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/04_-_I_Need_You.lab,Data/mp3s/I Need You - The Beatles.mp3,152.0,151,1.0
isophonics/The Beatles,The Beatles,Act Naturally,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/08_-_Act_Naturally.lab,Data/mp3s/Act Naturally - The Beatles.mp3,162.0,153,9.0
isophonics/The Beatles,The Beatles,Tell Me What You See,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/11_-_Tell_Me_What_You_See.lab,Data/mp3s/Tell Me What You See - The Beatles.mp3,157.0,159,-2.0
isophonics/The Beatles,The Beatles,It's Only Love,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/09_-_It's_Only_Love.lab,Data/mp3s/It's Only Love - The Beatles.mp3,119.0,118,1.0
isophonics/The Beatles,The Beatles,You Like Me Too Much,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/10_-_You_Like_Me_Too_Much.lab,Data/mp3s/You Like Me Too Much - The Beatles.mp3,154.0,158,-4.0
isophonics/The Beatles,The Beatles,I've Just Seen a Face,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/12_-_I've_Just_Seen_a_Face.lab,Data/mp3s/I've Just Seen a Face - The Beatles.mp3,125.0,127,-2.0
isophonics/The Beatles,The Beatles,Dizzy Miss Lizzy,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/14_-_Dizzy_Miss_Lizzy.lab,Data/mp3s/Dizzy Miss Lizzy - The Beatles.mp3,177.0,174,3.0
isophonics/The Beatles,The Beatles,Another Girl,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/05_-_Another_Girl.lab,Data/mp3s/Another Girl - The Beatles.mp3,126.0,128,-2.0
isophonics/The Beatles,The Beatles,You've Got To Hide Your Love Away,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/03_-_You've_Got_To_Hide_Your_Love_Away.lab,Data/mp3s/You've Got To Hide Your Love Away - The Beatles.mp3,130.0,131,-1.0
isophonics/The Beatles,The Beatles,The Night Before,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/02_-_The_Night_Before.lab,Data/mp3s/The Night Before - The Beatles.mp3,152.0,156,-4.0
isophonics/The Beatles,The Beatles,You're Going To Lose That Girl,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/05_-_Help!/06_-_You're_Going_To_Lose_That_Girl.lab,Data/mp3s/You're Going To Lose That Girl - The Beatles.mp3,135.0,140,-5.0
isophonics/The Beatles,The Beatles," Ob-La-Di, Ob-La-Da","Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_04_-_Ob-La-Di,_Ob-La-Da.lab","Data/mp3s/ Ob-La-Di, Ob-La-Da - The Beatles.mp3",189.0,188,1.0
isophonics/The Beatles,The Beatles, I Will,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_16_-_I_Will.lab,Data/mp3s/ I Will - The Beatles.mp3,106.0,106,0.0
isophonics/The Beatles,The Beatles, Piggies,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_12_-_Piggies.lab,Data/mp3s/ Piggies - The Beatles.mp3,125.0,124,1.0
isophonics/The Beatles,The Beatles, I'm So Tired,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_10_-_I'm_So_Tired.lab,Data/mp3s/ I'm So Tired - The Beatles.mp3,124.0,123,1.0
isophonics/The Beatles,The Beatles, Don't Pass Me By,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_14_-_Don't_Pass_Me_By.lab,Data/mp3s/ Don't Pass Me By - The Beatles.mp3,231.0,230,1.0
isophonics/The Beatles,The Beatles, Dear Prudence,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_02_-_Dear_Prudence.lab,Data/mp3s/ Dear Prudence - The Beatles.mp3,235.0,236,-1.0
isophonics/The Beatles,The Beatles, Why Don't We Do It In The Road,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_15_-_Why_Don't_We_Do_It_In_The_Road.lab,Data/mp3s/ Why Don't We Do It In The Road - The Beatles.mp3,102.0,101,1.0
isophonics/The Beatles,The Beatles, Happiness is a Warm Gun,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_08_-_Happiness_is_a_Warm_Gun.lab,Data/mp3s/ Happiness is a Warm Gun - The Beatles.mp3,165.0,163,2.0
isophonics/The Beatles,The Beatles, Wild Honey Pie,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_05_-_Wild_Honey_Pie.lab,Data/mp3s/ Wild Honey Pie - The Beatles.mp3,53.0,52,1.0
isophonics/The Beatles,The Beatles, Back in the USSR,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_01_-_Back_in_the_USSR.lab,Data/mp3s/ Back in the USSR - The Beatles.mp3,165.0,163,2.0
isophonics/The Beatles,The Beatles, Black Bird,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_11_-_Black_Bird.lab,Data/mp3s/ Black Bird - The Beatles.mp3,132.0,138,-6.0
isophonics/The Beatles,The Beatles, Glass Onion,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_03_-_Glass_Onion.lab,Data/mp3s/ Glass Onion - The Beatles.mp3,129.0,137,-8.0
isophonics/The Beatles,The Beatles, Martha My Dear,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_09_-_Martha_My_Dear.lab,Data/mp3s/ Martha My Dear - The Beatles.mp3,149.0,148,1.0
isophonics/The Beatles,The Beatles, Julia,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_17_-_Julia.lab,Data/mp3s/ Julia - The Beatles.mp3,177.0,174,3.0
isophonics/The Beatles,The Beatles, Rocky Raccoon,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_13_-_Rocky_Raccoon.lab,Data/mp3s/ Rocky Raccoon - The Beatles.mp3,221.0,212,9.0
isophonics/The Beatles,The Beatles, The Continuing Story of Bungalow Bill,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_06_-_The_Continuing_Story_of_Bungalow_Bill.lab,Data/mp3s/ The Continuing Story of Bungalow Bill - The Beatles.mp3,195.0,194,1.0
isophonics/The Beatles,The Beatles, While My Guitar Gently Weeps,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD1_-_The_Beatles/CD1_-_07_-_While_My_Guitar_Gently_Weeps.lab,Data/mp3s/ While My Guitar Gently Weeps - The Beatles.mp3,285.0,285,0.0
isophonics/The Beatles,The Beatles,Girl,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/09_-_Girl.lab,Data/mp3s/Girl - The Beatles.mp3,150.0,153,-3.0
isophonics/The Beatles,The Beatles,Norwegian Wood (This Bird Has Flown),Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/02_-_Norwegian_Wood_(This_Bird_Has_Flown).lab,Data/mp3s/Norwegian Wood (This Bird Has Flown) - The Beatles.mp3,120.0,125,-5.0
isophonics/The Beatles,The Beatles,You Won't See Me,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/03_-_You_Won't_See_Me.lab,Data/mp3s/You Won't See Me - The Beatles.mp3,195.0,202,-7.0
isophonics/The Beatles,The Beatles,If I Needed Someone,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/13_-_If_I_Needed_Someone.lab,Data/mp3s/If I Needed Someone - The Beatles.mp3,139.0,143,-4.0
isophonics/The Beatles,The Beatles,Think For Yourself,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/05_-_Think_For_Yourself.lab,Data/mp3s/Think For Yourself - The Beatles.mp3,139.0,139,0.0
isophonics/The Beatles,The Beatles,Run For Your Life,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/14_-_Run_For_Your_Life.lab,Data/mp3s/Run For Your Life - The Beatles.mp3,138.0,138,0.0
isophonics/The Beatles,The Beatles,The Word,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/06_-_The_Word.lab,Data/mp3s/The Word - The Beatles.mp3,164.0,163,1.0
isophonics/The Beatles,The Beatles,What Goes On,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/08_-_What_Goes_On.lab,Data/mp3s/What Goes On - The Beatles.mp3,167.0,170,-3.0
isophonics/The Beatles,The Beatles,Drive My Car,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/01_-_Drive_My_Car.lab,Data/mp3s/Drive My Car - The Beatles.mp3,143.0,150,-7.0
isophonics/The Beatles,The Beatles,Nowhere Man,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/04_-_Nowhere_Man.lab,Data/mp3s/Nowhere Man - The Beatles.mp3,163.0,164,-1.0
isophonics/The Beatles,The Beatles,I'm Looking Through You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/10_-_I'm_Looking_Through_You.lab,Data/mp3s/I'm Looking Through You - The Beatles.mp3,144.0,147,-3.0
isophonics/The Beatles,The Beatles,Wait,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/12_-_Wait.lab,Data/mp3s/Wait - The Beatles.mp3,133.0,136,-3.0
isophonics/The Beatles,The Beatles,Michelle,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/07_-_Michelle.lab,Data/mp3s/Michelle - The Beatles.mp3,169.0,162,7.0
isophonics/The Beatles,The Beatles,In My Life,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/06_-_Rubber_Soul/11_-_In_My_Life.lab,Data/mp3s/In My Life - The Beatles.mp3,156.0,147,9.0
isophonics/The Beatles,The Beatles,Hello Goodbye,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/07_-_Hello_Goodbye.lab,Data/mp3s/Hello Goodbye - The Beatles.mp3,209.0,211,-2.0
isophonics/The Beatles,The Beatles,Your Mother Should Know,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/05_-_Your_Mother_Should_Know.lab,Data/mp3s/Your Mother Should Know - The Beatles.mp3,148.0,149,-1.0
isophonics/The Beatles,The Beatles,I Am The Walrus,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/06_-_I_Am_The_Walrus.lab,Data/mp3s/I Am The Walrus - The Beatles.mp3,276.0,277,-1.0
isophonics/The Beatles,The Beatles,Flying,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/03_-_Flying.lab,Data/mp3s/Flying - The Beatles.mp3,136.0,136,0.0
isophonics/The Beatles,The Beatles,Penny Lane,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/09_-_Penny_Lane.lab,Data/mp3s/Penny Lane - The Beatles.mp3,181.0,183,-2.0
isophonics/The Beatles,The Beatles,Baby You're A Rich Man,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/10_-_Baby_You're_A_Rich_Man.lab,Data/mp3s/Baby You're A Rich Man - The Beatles.mp3,178.0,183,-5.0
isophonics/The Beatles,The Beatles,The Fool On The Hill,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/02_-_The_Fool_On_The_Hill.lab,,,180,
isophonics/The Beatles,The Beatles,Strawberry Fields Forever,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/08_-_Strawberry_Fields_Forever.lab,Data/mp3s/Strawberry Fields Forever - The Beatles.mp3,248.0,250,-2.0
isophonics/The Beatles,The Beatles,Blue Jay Way,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/04_-_Blue_Jay_Way.lab,Data/mp3s/Blue Jay Way - The Beatles.mp3,231.0,236,-5.0
isophonics/The Beatles,The Beatles,All You Need Is Love,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/11_-_All_You_Need_Is_Love.lab,Data/mp3s/All You Need Is Love - The Beatles.mp3,232.0,228,4.0
